Best cookie,Worst cookie,Raisins?
Snickerdoodle,There is no bad cookie,"Yes, please."
Snickerdoodle,There is no bad cookie,"Yes, please."
Snickerdoodle,There is no bad cookie,Never!
Snickerdoodle,Shortbread,Never!
Snickerdoodle,Peanut Butter,"Yes, please."
Chocolate Chip,Sugar,"Yes, please."
Chocolate Chip,Oatmeal,Never!
Oatmeal,Sugar,"Yes, please."
Chocolate Chip,Sugar,Never!
Chocolate Chip,Oatmeal,Never!
Chocolate Chip,Sugar,In certain types
Chocolate Chip,Oatmeal Raisin ,Never!
Gingerbread,Sugar,In certain types
Snickerdoodle,White Chocolate,In certain types
White Chocolate,Oatmeal,Never!
Chocolate Chip,Oatmeal,Never!
Chocolate Chip,Gingerbread,Never!
Snickerdoodle,Peanut Butter,Never!
Chocolate Chip,Oatmeal,Never!
Peanut Butter,Shortbread,"Yes, please."
Oatmeal Chocolate Chip,Sugar,Never!
Peanut Butter,Sugar,In certain types
Sugar,Gingerbread,In certain types
Snickerdoodle,White Chocolate,Never!
White Chocolate,Gingerbread,Never!
Chocolate Chip,Oatmeal,Never!
Chocolate Chip,White Chocolate,"Yes, please."
Chocolate Chip,White Chocolate,Never!
Oatmeal,Peanut Butter,"Yes, please."
Gingerbread,Peanut Butter,Never!
Chocolate Chip,Oatmeal,Never!
Chocolate Chip,White Chocolate,Never!
Oatmeal,Snickerdoodle,Never!
Chocolate Chip,Oatmeal,Never!
White Chocolate,Shortbread,Never!
Chocolate Chip,Gingerbread,In certain types
Chocolate Chip,Shortbread,"Yes, please."
Oatmeal,Snickerdoodle,"Yes, please."
Chocolate Chip,Oatmeal,Never!
White Chocolate,Gingerbread,Never!
Oatmeal,Snickerdoodle,"Yes, please."
Oatmeal,Sugar,"Yes, please."
Sugar,Peanut Butter,Never!
Snickerdoodle,White Chocolate,Never!
Chocolate Chip,Sugar,In certain types
Snickerdoodle,White Chocolate,In certain types
Oatmeal,Gingerbread,"Yes, please."
Chocolate Chip,Shortbread,In certain types
White Chocolate,Peanut Butter,"Yes, please."
Shortbread,Peanut Butter,Never!
Oatmeal,Sugar,"Yes, please."
Chocolate Chip,Peanut Butter,"Yes, please."
Chocolate Chip,Sugar,"Yes, please."
White Chocolate,Snickerdoodle,In certain types
Chocolate Chip,Raisin,Never!
Chocolate Chip,Shortbread,"Yes, please."
Snickerdoodle,Peanut Butter,"Yes, please."
White Chocolate,Shortbread,"Yes, please."
Lemon cheesecake,Oatmeal,"Yes, please."
Oatmeal,Gingerbread,"Yes, please."
Sugar,White Chocolate,In certain types
Chocolate Chip,Gingerbread,"Yes, please."
Shortbread,Oatmeal,"Yes, please."
Snickerdoodle,Oatmeal,Never!
Chocolate Chip,Snickerdoodle,In certain types
Oatmeal Chocolate Chip,Snickerdoodle,"Yes, please."
Chocolate Chip,Sugar,Never!
Chocolate Chip,Raisin,Never!
White Chocolate,Peanut Butter,"Yes, please."
White Chocolate,Sugar,Never!
Chocolate Chip,Sugar,Never!
Snickerdoodle,Shortbread,Never!
Oatmeal,White Chocolate,Never!
Chocolate Chip,Oatmeal Raisin ,Never!
Chocolate Chip,Oatmeal,Never!
Chocolate Chip,Peanut Butter,"Yes, please."
Chocolate Chip,Chocolate Chip,Never!
Chocolate Chip,There is no bad cookie,Never!
